"ORSEE_code","trial_id","subject_nr","subject_parity","age","gender","GEB.est","svs_biospheric","svs_altruistic","svs_egoistic","svs_hedonic","EU_ETS","vege_Q1","vege_Q2","vege_Q3","offer_resp_time","trial_order","carbon","money","proenv_decision","decision_diff_resp","DT_Carbon","DT_Money","DT_Total","Rel_DT_Carbon","first_fix_Carbon","last_fix_Carbon","FixCount_Carbon","FixCount_Money","FixCount_Total","Rel_FixCount_Carbon","FixDuration_Carbon","FixDuration_Money","Rel_FixDuration_Carbon","MeanFixDuration","nb_transition"
7828,13,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,3578,16,65,17,1,3,1562.995,1065.998,2628.99,0.59,1,0,6,4,10,0.6,260.499166666667,266.4995,0.49,262.8993,5
7828,14,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1380,1,65,20,0,2,499.008,382.003,881.01,0.57,0,0,1,2,3,0.33,499.008,191.0015,0.72,293.670333333333,2
7828,15,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2491,23,65,23,0,2,682.995,1000.012,1683.01,0.41,0,1,3,4,7,0.43,227.665,250.003,0.48,240.429571428571,5
7828,16,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,3611,27,80,20,0,3,1645.989,1164.007,2810,0.59,0,0,6,5,11,0.55,274.3315,232.8014,0.54,255.454181818182,4
7828,17,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1323,35,80,23,0,3,366.003,664.986,1030.99,0.36,0,0,2,3,5,0.4,183.0015,221.662,0.45,206.1978,2
7828,18,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,3699,9,95,23,0,3,1296.984,1530.995,2827.98,0.46,0,1,4,3,7,0.57,324.246,510.331666666667,0.39,403.997,3
7828,19,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1498,10,35,5,1,1,816.013,200,1016.01,0.8,0,1,2,1,3,0.67,408.0065,200,0.67,338.671,1
7828,2,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2106,3,20,11,0,1,699.993,766.016,1466.01,0.48,0,1,2,2,4,0.5,349.9965,383.008,0.48,366.50225,3
7828,20,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1674,6,50,5,0,2,632.012,532.006,1164.02,0.54,0,0,3,2,5,0.6,210.670666666667,266.003,0.44,232.8036,2
7828,21,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2745,25,50,8,1,3,500.006,1514.01,2014.02,0.25,0,0,1,4,5,0.2,500.006,378.5025,0.57,402.8032,2
7828,22,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1371,20,65,5,1,1,714.995,216,931,0.77,0,1,3,1,4,0.75,238.331666666667,216,0.52,232.74875,1
7828,23,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,4105,34,65,8,1,3,2611.019,600.998,3212.02,0.81,0,1,8,3,11,0.73,326.377375,200.332666666667,0.62,292.001545454545,5
7828,24,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1658,17,65,11,1,3,431.002,615.999,1047,0.41,0,0,2,3,5,0.4,215.501,205.333,0.51,209.4002,4
7828,25,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2069,7,80,5,1,1,848,681.997,1530,0.55,0,0,4,3,7,0.57,212,227.332333333333,0.48,218.571,2
7828,26,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2033,2,80,8,0,2,864.985,498.995,1363.98,0.63,1,0,3,2,5,0.6,288.328333333333,249.4975,0.54,272.796,3
7828,27,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2361,30,80,11,1,2,947.994,899.994,1847.99,0.51,0,1,4,3,7,0.57,236.9985,299.998,0.44,263.998285714286,3
7828,28,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,3990,24,80,14,1,3,1918.002,1064.998,2983,0.64,0,0,6,5,11,0.55,319.667,212.9996,0.6,271.181818181818,6
7828,29,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1139,31,95,8,1,1,600,232,832,0.72,0,1,1,1,2,0.5,600,232,0.72,416,1
7828,3,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1464,29,20,14,0,1,466.01,448.985,915,0.51,0,0,2,2,4,0.5,233.005,224.4925,0.51,228.74875,2
7828,30,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1307,14,95,11,1,1,697.997,217.997,915.99,0.76,0,1,2,1,3,0.67,348.9985,217.997,0.62,305.331333333333,1
7828,31,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1418,8,95,14,1,1,583.015,150.004,733.02,0.8,0,1,2,1,3,0.67,291.5075,150.004,0.66,244.339666666667,1
7828,32,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1353,4,95,17,1,2,464.972,316.005,780.98,0.6,0,0,3,2,5,0.6,154.990666666667,158.0025,0.5,156.1954,2
7828,33,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1095,28,110,11,1,1,281.997,397.989,679.99,0.41,0,0,1,2,3,0.33,281.997,198.9945,0.59,226.662,2
7828,34,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1291,21,110,14,1,1,465.997,366.003,832,0.56,0,0,1,2,3,0.33,465.997,183.0015,0.72,277.333333333333,2
7828,35,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,3731,33,110,17,1,3,1515.009,1448.998,2964.01,0.51,0,1,7,3,10,0.7,216.429857142857,482.999333333333,0.31,296.4007,5
7828,36,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1427,18,110,20,1,1,533.99,384.013,918,0.58,0,1,2,2,4,0.5,266.995,192.0065,0.58,229.50075,3
